portfolio,risk_currency,product_id,product_type,product_class,underlying,risk_underlying,maturity_bucket,strike_bucket,scenario_price,base_price,scenario,base_scenario,pnl
PF4_Balanced_Multi_Product,USD,PF4_Balanced_Multi_Product__options-4,Butterfly,Butterfly,AAPL,AAPL,0-6M,low,1935784.8253518362,2051422.698009166,Vol +5pts,Base,-115637.87265732978
PF3_Convexity_Protection,USD,PF3_Convexity_Protection__options-5,Call,BarrierOption,AAPL,AAPL,0-6M,atm,29646.952172102912,43095.960164989505,Vol +5pts,Base,-13449.007992886593
PF1_Defensive_Income,USD,PF1_Defensive_Income__options-2,Call Spread,CallSpread,AAPL,AAPL,0-6M,atm,731792.7001370398,732425.5991022432,Vol +5pts,Base,-632.8989652034361
PF2_Equity_Yield,USD,PF2_Equity_Yield__structured_notes-3,Capped Capital Protected Note,CappedCapitalProtectedNote,AAPL,AAPL,6M-1Y,atm,112.33328057562021,110.58156781608166,Vol +5pts,Base,1.7517127595385489
PF4_Balanced_Multi_Product,USD,PF4_Balanced_Multi_Product__structured_notes-2,Reverse Convertible,ReverseConvertible,AAPL,AAPL,1Y-2Y,atm,45.729726221061114,47.00002645133897,Vol +5pts,Base,-1.2703002302778543
PF1_Defensive_Income,USD,PF1_Defensive_Income__structured_notes-4,Reverse Convertible,ReverseConvertible,AAPL,AAPL,6M-1Y,atm,64.19203870062957,65.43587996332377,Vol +5pts,Base,-1.243841262694204
PF2_Equity_Yield,USD,PF2_Equity_Yield__1,Autocall,AutocallProduct,AAPL,AAPL,5Y-10Y,NA,85.6919983857451,86.1766607529178,Vol +5pts,Base,-0.48466236717270306
PF4_Balanced_Multi_Product,USD,PF4_Balanced_Multi_Product__1,Autocall,AutocallProduct,AAPL,AAPL,5Y-10Y,NA,85.6919983857451,86.1766607529178,Vol +5pts,Base,-0.48466236717270306
PF1_Defensive_Income,EUR,PF1_Defensive_Income__swaps-1,Interest Rate Swap,InterestRateSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,6M-1Y,NA,12008.897854856354,12008.897854856354,Vol +5pts,Base,0.0
PF2_Equity_Yield,EUR,PF2_Equity_Yield__swaps-2,Interest Rate Swap,InterestRateSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,1Y-2Y,NA,121988.21313808925,121988.21313808925,Vol +5pts,Base,0.0
