scenario,portfolio,risk_currency,price,delta,gamma,vega,theta,rho,dv01,line_count,base_price,pnl_vs_base,base_scenario
Base,PF1_Defensive_Income,EUR,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1,12008.897854856354,0.0,Base
Base,PF1_Defensive_Income,USD,732491.0349822065,23223.232947046483,-2.0026793534168217,-3714.1142554206385,-150272.93526800655,445388.025823773,0.0,2,732491.0349822065,0.0,Base
Base,PF2_Equity_Yield,EUR,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1,121988.21313808925,0.0,Base
Base,PF2_Equity_Yield,USD,196.75822856899947,0.22988377122137832,0.0019371019262380965,35.3627813948107,-8.276210024121314,120.71562804883513,0.0,2,196.75822856899947,0.0,Base
Base,PF3_Convexity_Protection,EUR,50307.37643349402,0.0,0.0,0.0,0.0,963192.8246632742,-96.31928246632742,2,50307.37643349402,0.0,Base
Base,PF3_Convexity_Protection,USD,43095.960164989505,0.0,0.0,0.0,0.0,0.0,0.0,1,43095.960164989505,0.0,Base
Base,PF4_Balanced_Multi_Product,EUR,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1,1997540.4968210577,0.0,Base
Base,PF4_Balanced_Multi_Product,USD,2051555.8746963702,1321.4886470402473,-325.1502540071968,-2378201.115008164,1208316.3621927153,-576113.0036222222,0.0,3,2051555.8746963702,0.0,Base
Equity +10%,PF1_Defensive_Income,EUR,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1,12008.897854856354,0.0,Base
Equity +10%,PF1_Defensive_Income,USD,1257192.2806161211,15518.299671824669,-464.2787664816826,-1035597.147875854,1904837.2019074059,266400.3299360975,0.0,2,732491.0349822065,524701.2456339146,Base
Equity +10%,PF2_Equity_Yield,EUR,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1,121988.21313808925,0.0,Base
Equity +10%,PF2_Equity_Yield,USD,196.80421141092307,0.20898524656488937,0.0016009106828414016,35.3627813948107,-8.276210024121312,120.71562804883513,0.0,2,196.75822856899947,0.045982841923603246,Base
Equity +10%,PF3_Convexity_Protection,EUR,50307.37643349402,0.0,0.0,0.0,0.0,963192.8246632742,-96.31928246632742,2,50307.37643349402,0.0,Base
Equity +10%,PF3_Convexity_Protection,USD,10517.69547464822,0.0,0.0,0.0,0.0,0.0,0.0,1,43095.960164989505,-32578.264690341282,Base
Equity +10%,PF4_Balanced_Multi_Product,EUR,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1,1997540.4968210577,0.0,Base
Equity +10%,PF4_Balanced_Multi_Product,USD,2008177.9557968208,-3612.7639966747374,-76.3373653730797,-675610.8232772361,419609.2466528526,-1020633.4689010871,0.0,3,2051555.8746963702,-43377.918899549404,Base
Equity -10%,PF1_Defensive_Income,EUR,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1,12008.897854856354,0.0,Base
Equity -10%,PF1_Defensive_Income,USD,216654.49302610697,14253.904895376485,574.2497630242854,857416.3524599737,-1747701.3948534394,262028.63224797611,0.0,2,732491.0349822065,-515836.54195609957,Base
Equity -10%,PF2_Equity_Yield,EUR,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1,121988.21313808925,0.0,Base
Equity -10%,PF2_Equity_Yield,USD,196.55467396833927,0.25542641246819814,0.0023914838595532045,35.36278139481071,-8.276210024121314,120.71562804883513,0.0,2,196.75822856899947,-0.2035546006601976,Base
Equity -10%,PF3_Convexity_Protection,EUR,50307.37643349402,0.0,0.0,0.0,0.0,963192.8246632742,-96.31928246632742,2,50307.37643349402,0.0,Base
Equity -10%,PF3_Convexity_Protection,USD,48903.27572286262,0.0,0.0,0.0,0.0,0.0,0.0,1,43095.960164989505,5807.315557873117,Base
Equity -10%,PF4_Balanced_Multi_Product,EUR,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1,1997540.4968210577,0.0,Base
Equity -10%,PF4_Balanced_Multi_Product,USD,1880148.891735542,12963.57584443221,-543.1037304286507,-3217594.373296717,1531629.2555543098,378595.42633913783,0.0,3,2051555.8746963702,-171406.9829608281,Base
Rates +100bps,PF1_Defensive_Income,EUR,3652.9231124686776,0.0,0.0,0.0,0.0,832075.5004174134,-83.20755004174134,1,12008.897854856354,-8355.974742387676,Base
Rates +100bps,PF1_Defensive_Income,USD,736941.698341806,23222.0574836504,-8.731591846243907,-16117.970298622255,-178605.6709232096,444983.2357776772,0.0,2,732491.0349822065,4450.663359599421,Base
Rates +100bps,PF2_Equity_Yield,EUR,93693.616500918,0.0,0.0,0.0,0.0,2803768.200761988,-280.3768200761988,1,121988.21313808925,-28294.596637171257,Base
Rates +100bps,PF2_Equity_Yield,USD,188.24885123274697,0.23406011617547468,0.0019224773624021989,35.09580253999761,-8.712704410422326,120.60521113192321,0.0,2,196.75822856899947,-8.509377336252498,Base
Rates +100bps,PF3_Convexity_Protection,EUR,40760.71046901116,0.0,0.0,0.0,0.0,946020.6759632274,-94.60206759632274,2,50307.37643349402,-9546.665964482861,Base
Rates +100bps,PF3_Convexity_Protection,USD,43238.796102927634,0.0,0.0,0.0,0.0,0.0,0.0,1,43095.960164989505,142.83593793812906,Base
Rates +100bps,PF4_Balanced_Multi_Product,EUR,1186351.379246511,0.0,0.0,0.0,0.0,73218155.02233803,-7321.815502233803,1,1997540.4968210577,-811189.1175745467,Base
Rates +100bps,PF4_Balanced_Multi_Product,USD,2045673.3619949827,1043.321354430097,-316.49869370825655,-2314922.4551189863,1197273.140692805,-598256.1712432171,0.0,3,2051555.8746963702,-5882.512701387517,Base
Risk-off,PF1_Defensive_Income,EUR,7822.180297503091,0.0,0.0,0.0,0.0,835560.1148216738,-83.55601148216738,1,12008.897854856354,-4186.717557353262,Base
