contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
META260320C00270000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,270.0,380.9,383.975,387.05,389.38,653.56,,383.56,0.415,25,25,7,0,True,2025-04-08 13:30:00,2026-03-02 21:00:00,,,,,,383.975,0.4131219780892344,-0.8840123831642479,0.016016667751806848,1.2200483858454616,383.975,0.0
META260320C00350000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,350.0,301.25,304.1,306.95,307.49,653.56,,303.56,0.54,25,25,12,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,304.1,0.5355284901156742,-0.6245011876791634,0.018743834265044355,0.9012857076762438,304.1000000000001,5.684341886080802e-14
META260320C00390000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,390.0,261.75,264.275,266.8,257.0,653.56,,263.56,0.715,26,28,54,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,264.275,0.5967317461288941,-0.5162876030389305,0.01910888279254569,0.8919204123809279,264.27499999999253,-7.44648787076585e-12
META260320C00400000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,400.0,253.0,254.575,256.15,250.45,653.56,,253.56,1.015,32,57,320,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,254.575,0.6120325601321991,-0.49096979505464067,0.012373563782775125,0.9722550754805199,254.57500000000016,1.7053025658242404e-13
META260320C00410000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,410.0,242.65,244.775,246.9,268.94,653.56,,243.56,1.215,38,64,113,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,244.775,0.627333374135504,-0.4662771824642692,0.017362884281482995,0.975305617382374,244.77499999999162,-8.384404281969182e-12
META260320C00420000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,420.0,232.7,234.875,237.05,227.96,653.56,,233.56,1.315,26,33,84,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,234.875,0.642634188138809,-0.44217963088520873,0.018520489622139532,0.9481546573993187,234.87499999999972,-2.8421709430404007e-13
META260320C00430000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,430.0,222.6,224.725,226.85,230.0,653.56,,223.56,1.165,27,33,71,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,224.725,0.657935002142114,-0.41864913347501465,0.018912003559906552,0.8689725772134818,224.72500000010882,1.0882672540901694e-10
META260320C00440000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,440.0,211.5,214.325,217.15,219.53,653.56,,213.56,0.765,30,30,60,2,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,214.325,0.6732358161454189,-0.3956596152503159,0.026361833663828327,0.6851920051375079,214.32499999999987,-1.1368683772161603e-13
META260320C00445000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,445.0,206.5,209.325,212.15,0.0,653.56,,208.56,0.765,26,26,0,0,True,2026-01-22 14:30:00,2026-03-02 21:00:00,,,,,,209.325,0.6808862231470715,-0.38436005999638245,0.026991520363071807,0.6626243359113838,209.32499999999993,-5.684341886080802e-14
META260320C00450000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,450.0,203.1,205.025,206.95,208.07,653.56,,203.56,1.465,35,58,136,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,205.025,0.688536630148724,-0.3731867593982572,0.018778197780758416,0.8345681675319278,205.0250000000001,8.526512829121202e-14
META260320C00455000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,455.0,196.55,199.25,201.95,0.0,653.56,,198.56,0.69,30,30,0,0,True,2026-01-22 14:30:00,2026-03-02 21:00:00,,,,,,199.25,0.6961870371503764,-0.3621369232116723,0.027101631116687463,0.5302436561402926,199.24999999999966,-3.410605131648481e-13
META260320C00460000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,460.0,191.65,194.3,196.95,203.0,653.56,,193.56,0.74,38,38,42,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,194.3,0.703837444152029,-0.35120785267948196,0.027277406073082773,0.5752721773864858,194.2999999999999,-1.1368683772161603e-13
META260320C00470000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,470.0,182.55,184.65,186.75,176.3,653.56,,183.56,1.09,35,38,70,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,184.65,0.7191382581553339,-0.3297016474585184,0.02274573517465469,0.6755917342585165,184.65000000000282,2.8137492336099967e-12
META260320C00475000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,475.0,176.65,179.325,182.0,190.0,653.56,,178.56,0.765,35,35,1,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,179.325,0.7267886651569864,-0.31911953812798155,0.029834100097588148,0.5294564364126016,179.3249999999765,-2.347633198951371e-11
META260320C00480000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,480.0,173.15,175.2,177.25,176.4,653.56,,173.56,1.64,51,62,214,1,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,175.2,0.7344390721586389,-0.30864823826068605,0.023401826484018232,0.7256388918453824,175.20000000000175,1.7621459846850485e-12
META260320C00490000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,490.0,163.15,164.975,166.8,164.82,653.56,,163.56,1.415,42,56,136,2,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,164.975,0.7497398861619439,-0.2880289510579504,0.02212456432792851,0.6516936539790212,164.97499999999997,-2.842170943040401e-14
META260320C00495000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,495.0,156.8,159.475,162.15,158.0,653.56,,158.56,0.915,27,26,9,1,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,159.475,0.7573902931635964,-0.2778765795939323,0.033547577990280575,0.5257330356275214,159.47499999999985,-1.4210854715202004e-13
META260320C00500000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,500.0,153.55,155.275,157.0,140.91,653.56,,153.56,1.715,35,54,450,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,155.275,0.7650407001652488,-0.26782624374043096,0.022218644340685805,0.6482208356251715,155.2749999999989,-1.1084466677857563e-12
META260320C00505000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,505.0,146.9,149.75,152.6,164.9,653.56,,148.56,1.19,30,30,5,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,149.75,0.7726911071669014,-0.2578759128872628,0.03806343906510844,0.5538099391774708,149.74999999999983,-1.7053025658242404e-13
META260320C00510000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,510.0,143.45,145.275,147.1,137.63,653.56,,143.56,1.715,37,58,303,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,145.275,0.7803415141685538,-0.24802361644425128,0.025124763379796976,0.6058706396718383,145.27500000000043,4.263256414560601e-13
META260320C00520000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,520.0,133.5,135.075,136.65,136.25,653.56,,133.56,1.515,42,37,209,1,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,135.075,0.7956423281718588,-0.22860553058714972,0.023320377568017813,0.5416788226797499,135.07500000001443,1.4438228390645236e-11
META260320C00525000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,525.0,127.15,129.8,132.45,119.46,653.56,,128.56,1.24,30,30,23,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,129.8,0.8032927351735113,-0.21903607957099894,0.04083204930662544,0.4842120670475142,129.79999999986865,-1.3136514098732732e-10
META260320C00530000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,530.0,122.25,124.5,126.75,113.0,653.56,,123.56,0.94,46,36,127,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,124.5,0.8109431421751638,-0.2095573356164551,0.03614457831325301,0.40150983696856035,124.49999999998579,-1.4210854715202004e-11
META260320C00535000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,535.0,117.85,120.325,122.8,107.65,653.56,,118.56,1.765,35,38,49,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,120.325,0.8185935491768163,-0.20016759526661615,0.041138583004363204,0.5075841697070466,120.32499999999982,-1.8474111129762605e-13
META260320C00540000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,540.0,114.05,115.725,117.4,105.96,653.56,,113.56,2.165,35,36,266,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,115.725,0.8262439561784688,-0.19086520260430256,0.028947936919421116,0.5206717276370588,115.72499999980414,-1.9585399968491402e-10
META260320C00545000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,545.0,107.6,110.2,112.8,157.0,653.56,,108.56,1.64,26,26,3,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,110.2,0.8338943631801212,-0.18164854749937864,0.047186932849364815,0.45534055348783453,110.20000000000016,1.5631940186722204e-13
META260320C00550000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,550.0,104.7,106.1,107.5,109.05,653.56,,103.56,2.54,13,41,2154,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,106.1,0.8415447701817738,-0.17251606393610605,0.026390197926484425,0.5039357142017966,106.09999999983324,-1.667501692281803e-10
META260320C00555000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,555.0,98.85,101.175,103.5,98.6,653.56,,98.56,2.615,35,35,28,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,101.175,0.8491951771834262,-0.16346622841618821,0.045959970348406286,0.4869472560861964,101.17499999999984,-1.5631940186722204e-13
META260320C00560000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,560.0,95.2,96.225,97.25,98.35,653.56,,93.56,2.665,5,10,241,3,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,96.225,0.8568455841850787,-0.15449755843342775,0.021304234866198986,0.4682493342964436,96.22500000000002,2.842170943040401e-14
META260320C00565000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,565.0,89.15,91.075,93.0,89.04,653.56,,88.56,2.515,40,36,46,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,91.075,0.8644959911867313,-0.14560861101618167,0.04227285204501778,0.4380568808817263,91.0750000000005,4.973799150320701e-13
META260320C00570000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,570.0,85.65,86.575,87.5,85.85,653.56,,83.56,3.015,11,13,266,0,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,86.575,0.8721463981883837,-0.13679798133402685,0.02136875541438053,0.443229387271151,86.57500000000016,1.5631940186722204e-13
META260320C00575000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,575.0,80.75,82.35,83.95,79.4,653.56,,78.56,3.79,21,52,105,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,82.35,0.8797968051900362,-0.1280643013652722,0.03885853066180939,0.455826318804274,82.3499999999982,-1.7905676941154525e-12
META260320C00580000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,580.0,76.0,77.325,78.65,78.37,653.56,,73.56,3.765,31,39,504,21,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,77.325,0.8874472121916887,-0.11940623862215768,0.03427093436792765,0.43162047397440356,77.32499999999413,-5.8690829973784275e-12
META260320C00585000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,585.0,71.5,72.85,74.2,68.15,653.56,,68.56,4.29,24,37,69,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,72.85,0.8950976191933412,-0.11082249493076615,0.037062457103637654,0.42840271184331985,72.85000000000008,8.526512829121202e-14
META260320C00590000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,590.0,67.0,68.0,69.0,67.14,653.56,,63.56,4.44,31,28,677,15,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,68.0,0.9027480261949936,-0.10231180526285759,0.029411764705882353,0.4098099050036913,67.99999999999989,-1.1368683772161603e-13
META260320C00595000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,595.0,63.2,63.975,64.75,59.25,653.56,,58.56,5.415,1,23,424,0,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,63.975,0.9103984331966462,-0.0938729366169929,0.024228214146150794,0.41705241183401665,63.97500000000002,2.1316282072803006e-14
META260320C00600000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,600.0,58.45,59.4,60.35,60.7,653.56,,53.56,5.84,14,62,2311,27,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,59.4,0.9180488401982986,-0.08550468694647637,0.031986531986531966,0.4041882506373975,59.399999999956435,-4.356337512945174e-11
META260320C00605000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,605.0,54.25,55.05,55.85,56.6,653.56,,48.56,6.49,5,5,256,3,True,2026-01-02 14:30:00,2026-03-02 21:00:00,,,,,,55.05,0.9256992471999511,-0.07720588413178121,0.029064486830154432,0.396040721018752,55.05000000055361,5.536122671401245e-10
META260320C00610000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,610.0,49.65,50.4,51.15,53.03,653.56,,43.56,6.84,26,16,780,24,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,50.4,0.9333496542016037,-0.0689753849952657,0.029761904761904764,0.37825256833394105,50.40000000000026,2.6290081223123707e-13
META260320C00615000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,615.0,46.15,46.35,46.55,42.18,653.56,,38.56,7.79,3,10,771,23,True,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,46.35,0.9410000612032561,-0.06081207435610483,0.008629989212513454,0.3737339702442124,46.34999999921371,-7.862936968194845e-10
META260320C00620000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,620.0,42.15,42.325,42.5,43.24,653.56,,33.56,8.765,2,3,1123,34,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,42.325,0.9486504682049086,-0.05271486412348541,0.008269344359125845,0.3670369386860432,42.324999999999875,-1.2789769243681803e-13
META260320C00625000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,625.0,38.4,38.525,38.65,39.51,653.56,,28.56,9.965,1,10,874,23,True,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,38.525,0.956300875206561,-0.044682692426221214,0.006489292667099286,0.36248030359153316,38.5250000000064,6.401990049198503e-12
META260320C00630000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,630.0,34.65,34.8,34.95,37.0,653.56,,23.56,11.24,1,5,5792,40,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,34.8,0.9639512822082136,-0.03671452277704429,0.008620689655172537,0.3565188540604033,34.80000000000001,1.4210854715202004e-14
META260320C00632500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,632.5,32.9,33.025,33.15,31.35,653.56,,21.06,11.965,2,2,70,6,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,33.025,0.9677764857090398,-0.032754121560947334,0.00757002271006813,0.35415235307893245,33.025000001198805,1.1988063874923682e-09
META260320C00635000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,635.0,31.1,31.225,31.35,33.05,653.56,,18.56,12.665,3,8,735,27,True,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,31.225,0.971601689209866,-0.02880934326993108,0.008006405124099279,0.3505440547328091,31.22499999996535,-3.4653169223020086e-11
META260320C00637500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,637.5,29.4,29.525,29.65,30.6,653.56,,16.06,13.465,2,13,77,32,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,29.525,0.9754268927106923,-0.024880065130041488,0.00846740050804403,0.3480607478215976,29.524999999999636,-3.623767952376511e-13
META260320C00640000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,640.0,26.9,27.425,27.95,26.4,653.56,,13.56,13.865,5,4,2480,136,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,27.425,0.9792520962115185,-0.020966165808905136,0.03828623518687332,0.33748059970483824,27.424999999999955,-4.618527782440651e-14
META260320C00642500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,642.5,26.1,26.225,26.35,26.85,653.56,,11.06,15.165,2,21,232,80,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,26.225,0.9830772997123448,-0.01706752539324779,0.009532888465204956,0.3425358252377208,26.2250000001049,1.0489742408026359e-10
META260320C00645000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,645.0,24.55,24.65,24.75,24.2,653.56,,8.56,16.09,3,8,1578,67,True,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,24.65,0.9869025032131711,-0.013184025366850136,0.008113590263691656,0.33990492913433007,24.650000000001114,1.1155520951433573e-12
META260320C00647500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,647.5,22.95,23.1,23.25,23.91,653.56,,6.06,17.04,1,6,170,30,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,23.1,0.9907277067139972,-0.0093155485889299,0.012987012987013017,0.33688701474907695,23.099999999999966,-3.552713678800501e-14
META260320C00650000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,650.0,21.5,21.625,21.75,22.35,653.56,,3.56,18.065,8,5,7707,756,True,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,21.625,0.9945529102148235,-0.005461979272939894,0.011560693641618497,0.33434093473383164,21.625000000327475,3.2747493605711497e-10
META260320C00652500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,652.5,20.1,20.225,20.35,20.6,653.56,,1.06,19.165,6,1,159,212,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,20.225,0.9983781137156498,-0.0016232029657741896,0.012360939431396786,0.3322359723004443,20.224999999999966,-3.552713678800501e-14
META260320C00655000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,655.0,18.75,18.85,18.95,19.17,653.56,,0.0,18.85,5,40,2141,317,False,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,18.85,1.002203317216476,0.0022008934726291673,0.010610079575596778,0.32968634231629607,18.85000000000008,7.815970093361102e-14
META260320C00657500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,657.5,17.45,17.525,17.6,18.05,653.56,,0.0,17.525,5,9,346,155,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,17.525,1.0060285207173023,0.006010421889297,0.00855920114122694,0.3271115218131116,17.524999999972692,-2.730615733526065e-11
META260320C00660000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,660.0,16.2,16.275,16.35,16.7,653.56,,0.0,16.275,5,45,2700,420,False,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,16.275,1.0098537242181285,0.009805492857848526,0.009216589861751284,0.32493026586602747,16.275000000000034,3.552713678800501e-14
META260320C00662500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,662.5,14.95,15.05,15.15,14.65,653.56,,0.0,15.05,2,1,109,170,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,15.05,1.0136789277189546,0.013586215697754487,0.013289036544850568,0.32226534158935755,15.050000000000068,6.750155989720952e-14
META260320C00665000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,665.0,13.85,13.925,14.0,13.2,653.56,,0.0,13.925,5,1,2361,313,False,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,13.925,1.017504131219781,0.017352698493231487,0.010771992818671479,0.3204161156300528,13.925000000018372,1.837108243307739e-11
