contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
NVDA260320C00130000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,130.0,52.65,52.975,53.3,53.05,182.48,,52.48,0.495,52,52,25366,208,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,52.975,0.7124068391056555,-0.33910612752055,0.012269938650306721,0.8069924266834871,52.97499999999998,-2.1316282072803006e-14
NVDA260320C00135000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,135.0,47.8,48.075,48.35,47.96,182.48,,47.48,0.595,12,26,26637,50,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,48.075,0.7398071021481807,-0.30136579953770304,0.01144045761830482,0.7650362967991509,48.07499999999999,-1.4210854715202004e-14
NVDA260320C00140000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,140.0,42.85,43.175,43.5,43.35,182.48,,42.48,0.695,52,82,26154,1793,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,43.175,0.7672073651907059,-0.26499815536682825,0.015055008685581902,0.7153679416673405,43.174999999976876,-2.312106062163366e-11
NVDA260320C00145000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,145.0,38.0,38.325,38.65,38.1,182.48,,37.48,0.845,52,25,26515,43,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,38.325,0.7946076282332311,-0.22990683555555816,0.01696020874103062,0.6720314253423635,38.32499999999993,-7.105427357601002e-14
NVDA260320C00150000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,150.0,33.45,33.625,33.8,33.45,182.48,,32.48,1.145,12,52,43032,420,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,33.625,0.8220078912757562,-0.19600528387987684,0.010408921933085333,0.6479149214288169,33.62499999999997,-2.842170943040401e-14
NVDA260320C00155000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,155.0,28.75,28.85,28.95,28.79,182.48,,27.48,1.37,30,3,15155,157,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,28.85,0.8494081543182815,-0.16321546105688586,0.006932409012131691,0.5968123569918953,28.84999999999883,-1.1723955140041653e-12
NVDA260320C00160000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,160.0,24.3,24.375,24.45,24.5,182.48,,22.48,1.895,11,55,110063,83319,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,24.375,0.8768084173608067,-0.1314667627423056,0.006153846153846096,0.573175707818394,24.374999999981043,-1.8957280190079473e-11
NVDA260320C00165000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,165.0,20.0,20.05,20.1,20.2,182.48,,17.48,2.57,2,15,20770,373,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,20.05,0.9042086804033319,-0.10069510407555193,0.0049875311720698964,0.544898665871479,20.050000000000068,6.750155989720952e-14
NVDA260320C00167500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,167.5,17.95,18.0,18.05,18.25,182.48,,14.98,3.02,10,11,418,215,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,18.0,0.9179088119245945,-0.08565722671101143,0.005555555555555635,0.5329829530896533,17.999999999995026,-4.973799150320701e-12
NVDA260320C00170000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,170.0,16.0,16.05,16.1,16.1,182.48,,12.48,3.57,5,20,25591,3705,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,16.05,0.9316089434458571,-0.07084214092587081,0.006230529595015665,0.5231401878976584,16.05000000006794,6.793854367970198e-11
