line_index,portfolio,product_id,source_sheet,underlying,quantity,product_type,status,price,delta,gamma,vega,theta,rho,maturity_years,strike,error_message
0,default_portfolio,<NA>,swaps,<NA>,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='swaps', product_type='<na>'"
1,default_portfolio,<NA>,swaps,<NA>,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='swaps', product_type='<na>'"
2,default_portfolio,<NA>,swaps,<NA>,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='swaps', product_type='<na>'"
3,default_portfolio,<NA>,swaps,<NA>,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='swaps', product_type='<na>'"
4,default_portfolio,<NA>,swaps,<NA>,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='swaps', product_type='<na>'"
5,default_portfolio,<NA>,options,AAPL,100000.0,call_spread,supported,2231886.749011273,79585.00522754037,-817.7469821312088,-956632.6649662328,567306.2284581163,1583802.418954145,0.08487337440109514,260.0,
6,default_portfolio,<NA>,options,AAPL,250000.0,butterfly,supported,3181725.609377757,-23278.79405035064,67.68050337058912,314147.2438065335,185499.831549529,-3129428.004620187,0.33675564681724846,226.66666666666666,
7,default_portfolio,<NA>,options,AAPL,100000.0,vanilla_call,supported,1476979.8188631227,59024.86974567187,1275.715247604036,5921386.646939898,-2178909.8556151506,4720717.769672252,0.33675564681724846,260.0,
8,default_portfolio,<NA>,options,AAPL,100000.0,call_spread,supported,827160.7509320518,24947.02832109863,72.07339340985618,334537.3743382832,-270999.2749998437,1926893.2901916467,0.33675564681724846,270.0,
9,default_portfolio,<NA>,options,AAPL,100000.0,vanilla_put,supported,963632.788507725,-40975.13025432813,1275.715247604036,5921386.646939898,-1406750.2665258124,-3946918.959325106,0.33675564681724846,260.0,
10,default_portfolio,<NA>,options,AAPL,-100000.0,put_spread,supported,2.850159030654314e-12,-1.2128180839957813e-13,4.246745136558639e-15,3.445555265519755e-11,-4.8127657106211665e-12,-2.0419295728728244e-11,0.5886379192334018,215.0,
11,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
12,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
13,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
