contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error,model_vol,model_price,price_error,abs_price_error,relative_price_error,abs_relative_price_error,vol_error,abs_vol_error,maturity_bucket,moneyness_bucket
NVDA260320P00180000,NVDA,NVDA,put,2026-03-05,2026-03-20,15,0.04106776180698152,180.0,5.25,5.3,5.35,5.37,183.34,,0.0,5.3,102,34,91326,10358,False,2025-01-15 14:30:00,2026-03-05 21:00:00,,,,,,5.3,0.9817824806370677,-0.01838550164341917,0.01886792452830182,0.47271170013788305,5.3000000000006935,6.936673457857978e-13,0.4858086381051696,5.488128520298389,0.1881285202983891,0.1881285202983891,0.03549594722611116,0.03549594722611116,0.01309693796728656,0.01309693796728656,0.04,atm
NVDA260320C00190000,NVDA,NVDA,call,2026-03-05,2026-03-20,15,0.04106776180698152,190.0,3.75,3.775,3.8,3.8,183.34,,0.0,3.775,70,47,123203,18328,False,2025-01-15 14:30:00,2026-03-05 21:00:00,,,,,,3.775,1.0363259517835715,0.03568171962685654,0.013245033112582735,0.4303588042613972,3.774999999987159,-1.284083950281456e-11,0.4381008091294852,3.8830311280694616,0.10803112806946169,0.10803112806946169,0.028617517369393827,0.028617517369393827,0.007742004868087959,0.007742004868087959,0.04,atm
NVDA260320C00202500,NVDA,NVDA,call,2026-03-05,2026-03-20,15,0.04106776180698152,202.5,0.88,0.89,0.9,0.88,183.34,,0.0,0.89,71,48,20604,2076,False,2026-02-23 14:30:00,2026-03-05 21:00:00,,,,,,0.89,1.1045052907167012,0.09939753401296429,0.02247191011235957,0.40455945327390413,0.8899999999998727,-1.2734258092450546e-13,0.44104987114247224,1.184228318323619,0.29422831832361906,0.29422831832361906,0.330593616093954,0.330593616093954,0.036490417868568104,0.036490417868568104,0.04,otm_call/itm_put
NVDA260320P00147000,NVDA,NVDA,put,2026-03-06,2026-03-20,14,0.038329911019849415,147.0,1.16,1.18,1.2,1.16,177.82,,0.0,1.18,29,2,146,434,False,2026-03-05 14:30:00,2026-03-06 21:00:00,,,,,,1.18,0.8266786638173435,-0.19033921591425654,0.0338983050847458,0.7702190700958437,1.1799999999999908,-9.103828801926284e-15,0.7186992484483595,0.9065444385591324,-0.2734555614408676,0.2734555614408676,-0.23174200122107422,0.23174200122107422,-0.05151982164748414,0.05151982164748414,0.04,otm_put/itm_call
NVDA260320P00217500,NVDA,NVDA,put,2026-03-05,2026-03-20,15,0.04106776180698152,217.5,33.45,34.425,35.4,35.44,183.34,,34.16,0.265,50,2,11,0,True,2026-02-27 14:30:00,2026-03-05 21:00:00,,,,,,34.425,1.1863204974364567,0.17085649799510913,0.05664488017429182,0.5322200208818775,34.42499999999998,-1.4210854715202004e-14,0.48284761127402037,34.22086366671445,-0.2041363332855468,0.2041363332855468,-0.005929886224707243,0.005929886224707243,-0.049372409607857104,0.049372409607857104,0.04,otm_call/itm_put
NVDA260320P00205000,NVDA,NVDA,put,2026-03-06,2026-03-20,14,0.038329911019849415,205.0,26.05,27.55,29.05,22.5,177.82,,27.18,0.37,98,1,670,28,True,2026-02-23 14:30:00,2026-03-06 21:00:00,,,,,,27.55,1.152851197840513,0.1422381764454153,0.1088929219600726,0.4963948054884135,27.549999999999983,-1.7763568394002505e-14,0.4683956173543059,27.413465443435996,-0.13653455656400482,0.13653455656400482,-0.0049558822709257645,0.0049558822709257645,-0.027999188134107622,0.027999188134107622,0.04,otm_call/itm_put
NVDA260320P00148000,NVDA,NVDA,put,2026-03-06,2026-03-20,14,0.038329911019849415,148.0,1.23,1.255,1.28,1.23,177.82,,0.0,1.255,74,12,80,206,False,2026-03-05 14:30:00,2026-03-06 21:00:00,,,,,,1.255,0.8323023281970532,-0.18355952892887786,0.039840637450199244,0.7625342684336717,1.2550000000000132,1.3322676295501878e-14,0.7102798536250037,0.9646494416975138,-0.29035055830248613,0.29035055830248613,-0.23135502653584555,0.23135502653584555,-0.05225441480866799,0.05225441480866799,0.04,otm_put/itm_call
NVDA260320C00148000,NVDA,NVDA,call,2026-03-06,2026-03-20,14,0.038329911019849415,148.0,31.2,31.275,31.35,33.7,177.82,,29.82,1.455,3,1,1,0,True,2026-03-05 14:30:00,2026-03-06 21:00:00,,,,,,31.275,0.8323023281970532,-0.18355952892887786,0.004796163069544433,0.7676011750555843,31.274999999999977,-2.1316282072803006e-14,0.7102798536250037,30.954736436593265,-0.32026356340673345,0.32026356340673345,-0.010240241835547033,0.010240241835547033,-0.05732132143058066,0.05732132143058066,0.04,otm_put/itm_call
NVDA260320C00175000,NVDA,NVDA,call,2026-03-05,2026-03-20,15,0.04106776180698152,175.0,12.35,12.4,12.45,12.36,183.34,,8.34,4.06,12,7,38206,2670,True,2025-01-15 14:30:00,2026-03-05 21:00:00,,,,,,12.4,0.9545107450638158,-0.04655637861011552,0.008064516129032228,0.5075549754791245,12.399999999999977,-2.3092638912203256e-14,0.5217541814749307,12.584763597542278,0.18476359754227722,0.18476359754227722,0.014900290124377194,0.014900290124377194,0.014199205995806152,0.014199205995806152,0.04,atm
NVDA260320P00145000,NVDA,NVDA,put,2026-03-04,2026-03-20,16,0.04380561259411362,145.0,0.58,0.59,0.6,0.64,183.04,,0.0,0.59,15,7,41028,413,False,2025-01-15 14:30:00,2026-03-04 21:00:00,,,,,,0.59,0.7921765734265734,-0.23297096577085866,0.0338983050847458,0.7092669256559347,0.5899999999999359,-6.405986852087153e-14,0.7466188601205979,0.7451855811936419,0.1551855811936419,0.1551855811936419,0.2630264088027829,0.2630264088027829,0.03735193446466312,0.03735193446466312,0.04,deep_otm_put/itm_call
