underlying,rows,svi_fit,svi_butterfly_ok,svi_calendar_ok,svi_within_thresholds,svi_rmse,svi_relative_mae,ssvi_fit,ssvi_butterfly_ok,ssvi_calendar_ok,ssvi_within_thresholds,ssvi_rmse,ssvi_relative_mae,ssvi_error
NVDA,351,True,False,False,True,0.1577577591548053,0.17677262818265535,True,True,True,True,0.33383500783407594,0.20347684002588037,
TSLA,567,True,True,False,True,0.28812961930707676,0.16346408109657712,True,True,True,True,0.5313133327934211,0.19572141519893926,
AAPL,348,True,False,False,False,0.28886942242534747,0.3448620517591014,True,True,True,False,0.43248729964859745,0.5515689848324912,
GOOGL,415,True,True,False,False,0.3156219205704668,0.32956016214592343,True,True,True,False,0.48693022476094716,0.42000887040009816,
AMZN,324,True,False,False,False,0.2692229591755964,0.38064965211064783,True,True,True,False,0.5303657503206479,0.4975525332925038,
MSFT,489,True,False,False,False,0.4174745259241855,0.46119748697353047,True,True,True,False,0.6199621708824848,0.5536567240377548,
META,789,True,True,False,False,0.602666190561986,0.41444031450928387,True,True,True,False,1.084681179950837,0.5132126394517603,
UNH,321,True,False,False,False,1.253872900144502,0.9001831376360181,True,True,True,False,1.3564561402603375,0.9459638905644625,
BRKB,351,True,False,False,False,1.1756865040495366,0.4119544832549751,True,True,True,False,1.9904720649560357,0.796566388073306,
JNJ,209,True,False,False,True,0.5856977582636904,0.0992799461270527,False,False,False,False,inf,inf,RuntimeError: SSVI calibration failed: ABNORMAL: 
